controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,51,1.02,0.6,0.5993535392419816,0.5930233800105494,0.5996453851788973,0.2765331120896314,0.045234624994918704,optimal
linear,52,1.04,0.6,0.5993802819940989,0.5943430144955892,0.5996720021529917,0.2768103380937092,0.08283525001024827,optimal
linear,53,1.06,0.6,0.599383662248083,0.5955797433641443,0.5996752695002328,0.2770243203995037,0.037671833008062094,optimal
linear,54,1.08,0.6,0.5993695918791957,0.5966868390313792,0.5996610990589565,0.277179772459778,0.037616833025822416,optimal
linear,55,1.1,0.6,0.5993434021967812,0.597637272746849,0.5996347502461266,0.2772834244670022,0.036674957984359935,optimal
linear,56,1.12,0.6,0.5993097015154253,0.5984193564627304,0.5996009184988875,0.2773430684420613,0.058941833005519584,optimal
linear,57,1.1400000000000001,0.6,0.5992723097609357,0.5990339144514013,0.5995634195070793,0.2773669211202005,0.04196795797906816,optimal
linear,58,1.16,0.6,0.599234253282221,0.5994908517443541,0.5995252459520667,0.2773629583883709,0.051355333998799324,optimal
linear,59,1.18,0.6,0.5991978052521075,0.5998059278990542,0.5994887195078122,0.2773385932856404,0.047194084007060155,optimal
linear,60,1.2,0.6,0.5991645566654075,0.5999990238239377,0.5994553719721668,0.27730051652701093,0.03780062499572523,optimal
linear,61,1.22,0.6,0.5991355067559012,0.6000910999509065,0.5994262773704736,0.2772543272197354,0.037396290979813784,optimal
linear,62,1.24,0.6,0.5991111623408861,0.6001037943959237,0.599401838408089,0.2772047254653631,0.037699459004215896,optimal
linear,63,1.26,0.6,0.5990916386391759,0.6000565146955003,0.5993823577443556,0.2771552405930068,0.03793341698474251,optimal
linear,64,1.28,0.6,0.5990767545894533,0.5999680544017347,0.5993674258850911,0.2771086367785755,0.03938045899849385,optimal
linear,65,1.3,0.6,0.5990661200386167,0.599853774806799,0.599356801988194,0.27706667861409867,0.03979224999784492,optimal
linear,66,1.32,0.6,0.599059212364052,0.5997270818855607,0.5993498443197167,0.2770305216799375,0.048701749998144805,optimal
linear,67,1.34,0.6,0.5990554400710724,0.5995978427297549,0.5993460906544272,0.27700057886974927,0.03623041699756868,optimal
linear,68,1.36,0.6,0.5990541933779909,0.5994740041847518,0.5993448336534761,0.2769769084541405,0.03566737499204464,optimal
linear,69,1.3800000000000001,0.6,0.5990548822113473,0.5993608798937736,0.5993455482402867,0.27695918411192116,0.03545066699734889,optimal
linear,70,1.4000000000000001,0.6,0.5990569637005636,0.5992619501481522,0.5993476583693984,0.2769468385680776,0.036484292009845376,optimal
linear,71,1.42,0.6,0.5990599596660618,0.5991789763426125,0.5993506467671975,0.27693909275195033,0.03595449999556877,optimal
linear,72,1.44,0.6,0.599063466207624,0.5991121913088551,0.5993542254778995,0.27693525006956393,0.03677883400814608,optimal
linear,73,1.46,0.6,0.5990671562635038,0.5990615701379747,0.5993578599912538,0.27693448935104886,0.053110667009605095,optimal
linear,74,1.48,0.6,0.5990707782836823,0.5990252160763997,0.5993615004986839,0.2769359827122242,0.03662941700895317,optimal
linear,75,1.5,0.6,0.5990741504643458,0.5990015196597531,0.5993649082590923,0.2769391525049499,0.03611824999097735,optimal
linear,76,1.52,0.6,0.5990771518577301,0.5989885766193067,0.5993679001244377,0.27694332004101774,0.03569429201888852,optimal
linear,77,1.54,0.6,0.5990797135696769,0.5989841860954374,0.5993704740593943,0.2769480089354767,0.03563320799730718,optimal
