controller,k,t,reference,y,u,x1_simulator_only,x2_simulator_only,predicted_y0,mpc_cost,solve_time_sec,qp_status
resdynet_ltv,12,48.0,4.0,3.4961035799441738,0.3999999999999999,0.05760000002794099,2.5008697703587424,7.978692753830161,412.42061317476833,0.04997254197951406,optimal
resdynet_ltv,13,52.0,4.0,2.5008697703587424,0.3999999999999999,0.0576000000004332,1.7281140657931084,6.615790084415416,162.49343783228866,0.04898370799492113,optimal
resdynet_ltv,14,56.0,4.0,1.7281140657931084,0.3999999999999999,0.05760000000000669,1.1579981006204259,5.322887492789741,39.93777912604864,0.050188583991257474,optimal
resdynet_ltv,15,60.0,4.0,1.1579981006204259,1.9269951071268836,0.8965388189029848,1.4481433021499655,4.0806357774331445,9.333252177253474,0.05152829099097289,optimal
resdynet_ltv,16,64.0,4.0,1.4481433021499655,5.371054270222423,4.122841279380435,2.880454594150413,3.1400406538941183,25.425388587366275,0.07863958299276419,optimal
resdynet_ltv,17,68.0,4.0,2.880454594150413,6.5,7.145396940051505,5.1173910911667155,2.607338855022651,37.13682848348253,0.051700916985282674,optimal
resdynet_ltv,18,72.0,4.0,5.1173910911667155,6.5,9.209077170193833,7.687816654964091,2.607376856489712,50.507811355933015,0.049949250009376556,optimal
resdynet_ltv,19,76.0,4.0,7.687816654964091,6.5,10.68964911762083,10.34366469403042,3.067621837892077,39.79217310842531,0.04971541598206386,optimal
resdynet_ltv,20,80.0,4.0,10.34366469403042,4.393532937106319,9.60121822668062,12.711779096168714,4.323555508699526,52.91403052357469,0.050551207998069,optimal
resdynet_ltv,21,84.0,4.0,12.711779096168714,0.8229690613108787,5.215798983599128,14.069808160596178,5.910681340025578,118.18970776188063,0.04995704101747833,optimal
resdynet_ltv,22,88.0,4.0,14.069808160596178,0.3999999999999999,2.006137909461273,14.011593408324954,7.672989164218654,235.68198493709667,0.050670750002609566,optimal
resdynet_ltv,23,92.0,4.0,14.011593408324954,0.3999999999999999,0.4386058717885008,12.71566103482693,9.069024105085827,468.9756070975949,0.049625541985733435,optimal
resdynet_ltv,24,96.0,4.0,12.71566103482693,0.3999999999999999,0.07459996020019438,10.653415998281567,9.977417091118308,797.8003898127803,0.07998008301365189,optimal
resdynet_ltv,25,100.0,4.0,10.653415998281567,2.079649235069743,1.008848076567538,9.382710565458513,10.426562870269118,1305.27699741587,0.04822166697704233,optimal
resdynet_ltv,26,104.0,4.0,9.382710565458513,0.3999999999999999,0.15368541361212198,8.078427275641852,10.238343065455068,1158.7869069875544,0.04812612500973046,optimal
resdynet_ltv,27,108.0,4.0,8.078427275641852,0.3999999999999999,0.05971233927009036,6.3877470252232955,9.43756929199252,986.7767743287789,0.04832745899329893,optimal
resdynet_ltv,28,112.0,4.0,6.3877470252232955,0.3999999999999999,0.057633047461774965,4.879521505455097,8.567388922359347,857.0208706045536,0.0482076249900274,optimal
resdynet_ltv,29,116.0,4.0,4.879521505455097,0.39999999999999947,0.05760051247524454,3.6198557537033875,7.162323191713309,609.0442250697072,0.048939500004053116,optimal
resdynet_ltv,30,120.0,4.0,3.6198557537033875,0.3999999999999999,0.057600007945977055,2.5991538574219435,5.617623475369262,488.08998954204674,0.04932241601636633,optimal
resdynet_ltv,31,124.0,4.0,2.5991538574219435,0.3999999999999999,0.05760000012320283,1.802796693670503,4.103842583483616,333.6801396263313,0.05020370800048113,optimal
resdynet_ltv,32,128.0,4.0,1.802796693670503,0.3999999999999999,0.05760000000191024,1.211538228022063,2.6648916925831996,264.6969149874476,0.07752154199988581,optimal
resdynet_ltv,33,132.0,4.0,1.211538228022063,0.3999999999999999,0.057600000000029586,0.8001386481409822,1.8975963320172515,221.49556279248338,0.05132816598052159,optimal
resdynet_ltv,34,136.0,4.0,0.8001386481409822,2.2350320731550433,1.1172450861267642,1.3074741151087117,1.142120570788446,202.56920205307213,0.049682750017382205,optimal
resdynet_ltv,35,140.0,4.0,1.3074741151087117,4.346013200437655,3.307039411475789,2.6297070158406464,0.2676837918198274,209.97399860379582,0.04933604199322872,optimal
resdynet_ltv,36,144.0,4.0,2.6297070158406464,6.5,6.617324050622871,4.70751189350145,0.5799007406752992,192.97354204519797,0.04914229200221598,optimal
resdynet_ltv,37,148.0,4.0,4.70751189350145,6.5,8.838451609488963,7.223377042012923,0.994710185701897,210.87486635319945,0.04807962500490248,optimal
