training_horizon,seed,model,prediction_step,rmse,nrmse,nrmse_percent
5,0,ResDyNet,64,0.012703750237107627,0.012876267497351289,1.287626749735129
5,0,ResDyNet,65,0.012708764710660346,0.012886954514822772,1.2886954514822773
5,0,ResDyNet,66,0.012712139052333527,0.01289724220816872,1.2897242208168718
5,0,ResDyNet,67,0.012715487041831596,0.012908403077494936,1.2908403077494937
5,0,ResDyNet,68,0.012713908726192396,0.012913934734583587,1.2913934734583588
5,0,ResDyNet,69,0.01270916981606292,0.012914870272794305,1.2914870272794305
5,0,ResDyNet,70,0.012701473303302359,0.012911481248811897,1.2911481248811896
5,0,ResDyNet,71,0.012695208012402289,0.012908426823994469,1.2908426823994468
5,0,ResDyNet,72,0.012688992266063126,0.012905064388327307,1.2905064388327308
5,0,ResDyNet,73,0.012683630609024953,0.012902157359262327,1.2902157359262327
5,0,ResDyNet,74,0.012676813449633385,0.012897011073299715,1.2897011073299716
5,0,ResDyNet,75,0.012670858791952582,0.01289200892571294,1.289200892571294
5,0,ResDyNet,76,0.012666954894185995,0.012888466961114509,1.2888466961114509
5,0,ResDyNet,77,0.012665806102500043,0.01288724344162754,1.288724344162754
5,0,ResDyNet,78,0.0126650821636687,0.012886149569808557,1.2886149569808558
5,0,ResDyNet,79,0.012665543334749263,0.012886013552356291,1.2886013552356292
