controller,k,t,reference,y,u,tracking_error,x1_simulator_only,x2_simulator_only,mpc_cost,qp_status,solve_time_sec
linear_mpc,55,55.0,0.6969220851487844,0.7772926203344762,0.7227318682649507,0.08037053518569182,0.1909009030269181,0.7762421967382312,0.004491987750979024,optimal,0.008657666010549292
linear_mpc,56,56.0,0.6946275734470602,0.7762421967382312,0.7171972791580475,0.08161462329117108,0.18838816584550788,0.7742735513653717,0.004232297707860193,optimal,0.00862991699250415
linear_mpc,57,57.0,0.6916628299879447,0.7742735513653717,0.7110720300543575,0.08261072137742698,0.18557986603137902,0.7713490521980145,0.003957935225080189,optimal,0.008679291000589728
linear_mpc,58,58.0,0.6880100264126601,0.7713490521980145,0.7043556536862127,0.08333902578535446,0.18248070230863644,0.7674344336860253,0.0036713583811335392,optimal,0.008688041009008884
linear_mpc,59,59.0,0.6836534146165519,0.7674344336860253,0.6970408869101277,0.08378101906947333,0.17909500569670114,0.7624984629544216,0.0033754463830806105,optimal,0.009370583982672542
linear_mpc,60,60.0,0.678579556510152,0.7624984629544216,0.689127763420153,0.08391890644426958,0.17542896615600803,0.7565128538729465,0.0030734070030867923,optimal,0.010480708995601162
linear_mpc,61,61.0,0.6727775571094347,0.7565128538729465,0.6806296040349417,0.08373529676351188,0.17149321499784073,0.7494533093173879,0.002768618128310884,optimal,0.009548625006573275
linear_mpc,62,62.0,0.6662392994957871,0.7494533093173879,0.6715652084340814,0.08321400982160077,0.16730242189066571,0.7413009504292037,0.002464565907755026,optimal,0.012543499993626028
linear_mpc,63,63.0,0.6589596800286994,0.7413009504292037,0.6619498872023009,0.08234127040050432,0.16287297224852898,0.7320430225671728,0.0021648662778799123,optimal,0.030158667010255158
linear_mpc,64,64.0,0.6509368420354213,0.7320430225671728,0.6517966554182728,0.08110618053175145,0.1582219145319973,0.7216728599658332,0.0018732591627704815,optimal,0.008829458005493507
linear_mpc,65,65.0,0.6421724060433165,0.7216728599658332,0.6411244054042238,0.0795004539225167,0.15336817782227688,0.7101900185779237,0.0015935339628901188,optimal,0.008708665991434827
linear_mpc,66,66.0,0.632671694464097,0.7101900185779237,0.6299621511851233,0.07751832411382675,0.14833409136551862,0.6976011434070392,0.001329433390009425,optimal,0.008663292013807222
linear_mpc,67,67.0,0.6224439484863761,0.6976011434070392,0.6183451800409532,0.07515719492066308,0.14314520032181424,0.6839211539244779,0.0010845761965702445,optimal,0.008625749993370846
linear_mpc,68,68.0,0.6115025347861063,0.6839211539244779,0.6063093135073786,0.07241861913837166,0.137828740369566,0.6691740007534301,0.0008623874654109169,optimal,0.008605000009993091
linear_mpc,69,69.0,0.5998651395256898,0.6691740007534301,0.5938904893489316,0.06930886122774038,0.13241261039483032,0.6533928554742499,0.0006660181974651382,optimal,0.008627125003840774
linear_mpc,70,70.0,0.5875539469842442,0.6533928554742499,0.5811291885845944,0.06583890849000562,0.12692568396806148,0.6366202533467885,0.0004982660645981972,optimal,0.008594665996497497
linear_mpc,71,71.0,0.5745958000462404,0.6366202533467885,0.5680735853647634,0.062024453300548066,0.12139849631147304,0.618908614508815,0.0003615120527624656,optimal,0.00860408300650306
linear_mpc,72,72.0,0.5610223396761921,0.618908614508815,0.554777947411992,0.057886274832622875,0.11586304034145173,0.6003209564657493,0.0002576591677817585,optimal,0.008605374983744696
linear_mpc,73,73.0,0.546870120426106,0.6003209564657493,0.5412990376964241,0.05345083603964329,0.11035167445973988,0.5809312992471867,0.00018805294767907423,optimal,0.008549208985641599
linear_mpc,74,74.0,0.5321806989629347,0.5809312992471867,0.5276950265125627,0.04875060028425193,0.10489616454429601,0.5608245779670734,0.000153395791145251,optimal,0.008557291992474347
linear_mpc,75,75.0,0.5170006925683446,0.5608245779670734,0.5140275406943003,0.043823885398728835,0.09952749224363124,0.5400963335558087,0.0001536899064765329,optimal,0.008561708003981039
linear_mpc,76,76.0,0.5013818045558078,0.5400963335558087,0.5003636402347241,0.03871452900000083,0.09427601359161247,0.5188524766187431,0.00018822011037039144,optimal,0.008566834003431723
linear_mpc,77,77.0,0.4853808135734646,0.5188524766187431,0.4867752076890125,0.033471663045278544,0.08917122786656465,0.49720905360250733,0.0002555500398841157,optimal,0.008605707989772782
linear_mpc,78,78.0,0.46905952381848276,0.49720905360250733,0.47333671618200274,0.028149529784024574,0.08424105023454556,0.47529169523149956,0.0003535067168367617,optimal,0.00851416599471122
linear_mpc,79,79.0,0.45248467328281966,0.47529169523149956,0.46012395424580166,0.022807021948679895,0.07951111749681919,0.4532345759015687,0.00047916565613990384,optimal,0.008493792003719136
linear_mpc,80,80.0,0.435727797284308,0.4532345759015687,0.44721456447644,0.017506778617260688,0.07500454536506708,0.4311790148058024,0.0006288699984362001,optimal,0.008666792011354119
linear_mpc,81,81.0,0.41886504471365016,0.4311790148058024,0.434688937029084,0.012313970092152238,0.07074199961309921,0.4092719228628377,0.0007982959457412067,optimal,0.008519167022313923
linear_mpc,82,82.0,0.40197694464978617,0.4092719228628377,0.4226298881351959,0.007294978213051528,0.06674169512269147,0.38766410948238655,0.0009825444081374157,optimal,0.008510499988915399
linear_mpc,83,83.0,0.3851481212655278,0.38766410948238655,0.4111212430701315,0.0025159882168587777,0.06301920508053846,0.36650829861164563,0.0011762362432995268,optimal,0.008485166006721556
linear_mpc,84,84.0,0.3684669552643036,0.36650829861164563,0.4002465671366044,-0.0019586566526579863,0.05958730267065393,0.345956767958235,0.001373612842518931,optimal,0.008470166998449713
linear_mpc,85,85.0,0.35202519045891545,0.345956767958235,0.390088746234282,-0.006068422500680459,0.0564560618624837,0.3261587148280944,0.0015686602211658002,optimal,0.008735999988857657
linear_mpc,86,86.0,0.33591748452547465,0.3261587148280944,0.3807299788052886,-0.009758769697380265,0.053633200637026174,0.3072575462517285,0.0017552655752308417,optimal,0.008559916983358562
linear_mpc,87,87.0,0.3202409034407256,0.3072575462517285,0.3722514046068032,-0.012983357188997069,0.051124494466211784,0.28938823402551617,0.001927396450736674,optimal,0.008518000016920269
